priority_rank,school_id,school_name,region,latest_year,latest_gpa,latest_pass_rate,latest_sat,size_band,severity_score,trend_decline_score,recoverability_score,priority_score,priority_category,gpa_slope,pass_rate_slope,similar_school_count,evidence_years,first_year,data_quality
5541,S5452,KINGS SECONDARY SCHOOL,DAR ES SALAAM,2025,2.0175,100.0,70.0,Medium,12.71875,2.5759999999991012,93.91258318209317,25.914691636418365,Low,0.012879999999995506,4.256661309384458e-15,862,8,2018,Complete
5542,S0485,MAJENGO SECONDARY SCHOOL,KILIMANJARO,2025,2.1389,100.0,70.0,Medium,14.23625,0.0,93.91258318209317,25.900641636418634,Low,-0.11248000000000438,4.256661309384458e-15,862,10,2016,Complete
5543,S2549,ALPHA SECONDARY SCHOOL,DAR ES SALAAM,2025,1.9439,100.0,92.0,Large,11.79875,0.0,100.0,25.899375,Low,-0.07235000000000044,4.256661309384458e-15,862,10,2016,Complete
5544,S1045,DAR-ES-SALAAM SECONDARY SCHOOL,DAR ES SALAAM,2025,1.9435,100.0,186.0,Very Large,11.79375,0.0,100.0,25.896875,Low,-0.07338000000000346,0.12545556490046458,856,10,2016,Complete
5545,S1049,ST. THOMAS AQUINAS' SECONDARY SCHOOL,TABORA,2025,1.9433,100.0,80.0,Large,11.79125,0.0,100.0,25.895625,Low,-0.18990000000000384,4.256661309384458e-15,862,10,2016,Complete
5546,S0367,KILOSA SECONDARY SCHOOL,MOROGORO,2025,1.9428,100.0,276.0,Very Large,11.785,0.0,100.0,25.8925,Low,-0.11169000000000062,4.256661309384458e-15,856,10,2016,Complete
5547,S4740,ST. STEPHEN BOYS' SECONDARY SCHOOL,KILIMANJARO,2025,1.8873,100.0,144.0,Very Large,11.09125,1.0760000000000796,100.0,25.868425000000023,Low,0.005380000000000398,4.256661309384458e-15,856,10,2016,Complete
5548,S3886,SIMBA WA YUDA SECONDARY SCHOOL,SIMIYU,2025,2.1014,100.0,69.0,Medium,13.767499999999998,0.6578947368420826,93.91258318209317,25.863635057471257,Low,-0.03163999999999776,-0.1315789473684165,862,10,2016,Complete
5549,S0577,AL-HIKMA GIRLS' SECONDARY SCHOOL,DAR ES SALAAM,2025,1.9367,100.0,103.0,Large,11.708750000000002,0.0,100.0,25.854375,Low,-0.16252000000001046,4.256661309384458e-15,862,10,2016,Complete
5550,S5377,ROHILA SECONDARY SCHOOL,MBEYA,2025,2.7151,100.0,30.0,Small,21.438750000000002,0.0,75.64102564102569,25.847580128205138,Low,-0.16962000000000677,0.612244897959174,965,8,2018,Complete
