school_id,school_name,region,latest_year,latest_gpa,latest_pass_rate,latest_sat,pass_rate_decline_score,subject_failure_score,trend_instability_score,risk_score,risk_level,pass_rate_slope,subject_failure_rate,subject_count,evidence_years,data_quality
S4994,EDEN VALLEY SECONDARY SCHOOL,MWANZA,2025,3.2352,93.33333333333333,30.0,20.000000000001368,20.16460905349794,37.86509022109008,25.408909782376952,Safe,-2.000000000000137,20.16460905349794,11,10,Complete
S2803,TWIGA SECONDARY SCHOOL,DAR ES SALAAM,2025,4.0499,88.12260536398468,261.0,0.0,50.67372473532242,34.0103529644329,25.405223309926598,Safe,1.0706442871077044,50.67372473532242,12,10,Complete
S3129,KIHANGI MAHUKA SECONDARY SCHOOL,RUVUMA,2025,4.0061,96.15384615384616,26.0,9.827806602000097,39.54545454545455,32.02784948576492,25.403113850165877,Safe,-0.9827806602000096,39.54545454545455,10,10,Complete
S2891,UMONGA SECONDARY SCHOOL,DODOMA,2025,3.8504,93.22033898305084,118.0,0.0,35.2035203520352,49.403815787192265,25.38220084176824,Safe,0.7702206528808414,35.2035203520352,11,10,Complete
S1672,MAFULALA SECONDARY SCHOOL,RUKWA,2025,3.7484,98.38709677419355,124.0,0.0,33.80681818181817,50.79196743318908,25.379635684502176,Safe,2.0015561270976767,33.80681818181817,10,10,Complete
S1225,MATANDA SECONDARY SCHOOL,LINDI,2025,4.0205,95.78947368421052,95.0,0.0,54.60440985732814,29.9564367026224,25.36825396798516,Safe,2.5494838895361465,54.60440985732814,10,10,Complete
S1732,MBALAMAZIWA SECONDARY SCHOOL,IRINGA,2025,3.9893,93.16239316239316,117.0,0.0,39.63344788087056,44.90194580727248,25.360618106442914,Safe,3.235985029463651,39.63344788087056,9,10,Complete
S0327,MINJA SECONDARY SCHOOL,KILIMANJARO,2024,4.1364,100.0,14.0,3.0576441102737535,38.01652892561983,42.4411641036958,25.360365552904188,Safe,-0.30576441102737534,38.01652892561983,12,9,Complete
S1678,MLOWO SECONDARY SCHOOL,SONGWE,2025,3.9104,91.58878504672897,214.0,0.0,39.71291866028708,44.81989667116922,25.35984459943689,Safe,5.272558170596974,39.71291866028708,11,10,Complete
S3931,NSOHO SECONDARY SCHOOL,MBEYA,2025,3.7853,96.42857142857143,56.0,15.373834014821758,29.137529137529143,34.87362524678422,25.352879921222712,Safe,-1.537383401482176,29.137529137529143,9,10,Complete
S1854,SHEKILANGO SECONDARY SCHOOL,TANGA,2025,3.6174,99.31972789115646,147.0,0.0,30.929487179487182,53.55532586971619,25.345443914761013,Safe,6.664702962524772,30.929487179487182,11,10,Complete
S3655,NYASA SECONDARY SCHOOL,RUVUMA,2025,3.6658,98.52941176470588,68.0,0.0,22.80373831775701,61.6663076627363,25.34101379414799,Safe,4.968857044284411,22.80373831775701,10,10,Complete
S2484,KIKORE SECONDARY SCHOOL,DODOMA,2025,3.7388,100.0,48.0,4.678362573096364,29.48717948717949,48.741152973040194,25.33984476730445,Safe,-0.4678362573096364,29.48717948717949,11,10,Complete
S4935,CHAMBOGO SECONDARY SCHOOL,TANGA,2025,3.3677,100.0,38.0,0.0,15.67398119122258,68.77395343180558,25.33438038690845,Safe,2.9760134800282727,15.67398119122258,10,10,Complete
S0831,NANGWANDA GIRLS' SECONDARY SCHOOL,MTWARA,2025,3.747,98.7012987012987,154.0,0.0,29.87321711568937,54.564798239202815,25.331404606467657,Safe,5.067869517053236,29.87321711568937,10,10,Complete
S3852,MAZINGARA SECONDARY SCHOOL,TANGA,2025,3.8747,96.03960396039604,101.0,0.0,31.856287425149702,52.57941063789291,25.330709418912782,Safe,0.14590374450969748,31.856287425149702,10,10,Complete
S2268,LUGONGO SECONDARY SCHOOL,MWANZA,2025,3.4504,100.0,197.0,0.0,16.356107660455493,68.06510554632601,25.32636396203445,Safe,6.95267072346217,16.356107660455493,10,10,Complete
S2505,RWEPA'S SECONDARY SCHOOL,SHINYANGA,2025,2.4238,100.0,62.0,0.0,1.2389380530973426,83.17698481320585,25.324776859890957,Safe,0.9677419354838468,1.2389380530973426,11,10,Complete
S0543,MANEROMANGO SECONDARY SCHOOL,PWANI,2025,4.1194,93.93939393939394,66.0,0.0,57.276119402985074,27.130351450601196,25.32194125607588,Safe,2.0550674815381282,57.276119402985074,10,10,Complete
S0208,KISUTU SECONDARY SCHOOL,DAR ES SALAAM,2019,3.0304,88.23529411764706,153.0,30.934656356237383,15.457184325108855,27.70139758480502,25.321437115469116,Safe,-3.093465635623738,15.457184325108855,15,4,Complete
S0386,GEITA SECONDARY SCHOOL,GEITA,2025,1.3015,100.0,65.0,0.0,0.0,84.3935001735798,25.31805005207394,Safe,4.380952380952275,0.0,10,10,Complete
S1304,CHANJAMJAWIRI SECONDARY SCHOOL,KUSINI PEMBA,2025,4.2501,65.97938144329896,97.0,0.0,57.423312883435585,26.967371652096837,25.317205360659727,Safe,2.012885979292262,57.423312883435585,12,10,Complete
S4468,HAMPANGALA SECONDARY SCHOOL,SONGWE,2025,3.8571,94.0,50.0,2.494983277589767,30.73286052009456,50.309246143049954,25.310625309979258,Safe,-0.2494983277589767,30.73286052009456,10,10,Complete
S1257,ARAFAH ISLAMIC SEMINARY,TANGA,2025,3.1058,97.67441860465115,43.0,3.5284683239771866,9.893048128342244,69.74081558598833,25.301546443890047,Safe,-0.3528468323977187,9.893048128342244,12,10,Complete
S2629,MULUNGA SECONDARY SCHOOL,NJOMBE,2025,4.0331,87.32394366197182,71.0,0.0,50.47438330170778,33.80450502042322,25.2836664966393,Safe,1.6501547269362236,50.47438330170778,9,10,Complete
S5313,KWEKIVU SECONDARY SCHOOL,TANGA,2025,3.8248,100.0,21.0,0.0,32.92682926829268,51.31369262648847,25.272156568434344,Safe,5.259259259259136,32.92682926829268,9,10,Complete
S1800,NSIMBO SECONDARY SCHOOL,KATAVI,2025,3.8432,93.63057324840764,157.0,0.0,39.75694444444444,44.44911007921505,25.26181635709785,Safe,0.39587468325761155,39.75694444444444,10,10,Complete
S0914,MUYAMA SECONDARY SCHOOL,KIGOMA,2025,3.7376,93.54838709677419,124.0,3.8170758607715842,37.462834489593654,41.64004529459872,25.257694279566344,Safe,-0.38170758607715843,37.462834489593654,12,10,Complete
S1979,SILI SECONDARY SCHOOL,RUVUMA,2025,3.5251,100.0,43.0,0.0,22.1875,61.97212081450202,25.247886244350607,Safe,7.75906432748541,22.1875,10,10,Complete
S3293,BWANJAI SECONDARY SCHOOL,KAGERA,2025,3.3397,100.0,110.0,0.0,16.74418604651163,67.40841126815235,25.24577919439919,Safe,5.962366129516943,16.74418604651163,10,10,Complete
S1773,MIEMBE SABA SECONDARY SCHOOL,PWANI,2025,3.6866,95.91836734693877,343.0,0.0,29.75929978118161,54.37663766673592,25.240781234375255,Safe,3.4280292741528084,29.75929978118161,13,10,Complete
S1961,IJUMBI SECONDARY SCHOOL,KAGERA,2025,3.8531,98.57142857142858,210.0,0.0,29.017566688353938,55.10372404902698,25.236387221214272,Safe,3.6010387449572927,29.017566688353938,9,10,Complete
S3453,MAWENI SECONDARY SCHOOL,TANGA,2025,3.5379,99.41176470588235,170.0,0.0,26.0,58.11724426893106,25.23517328067932,Safe,4.734912146676758,26.0,13,10,Complete
S1811,KIMWANYA SECONDARY SCHOOL,KIGOMA,2025,3.7839,96.7948717948718,156.0,0.0,29.85821517931609,54.23270898862218,25.227277250381476,Safe,6.201317038125312,29.85821517931609,10,10,Complete
S3182,UBENA SECONDARY SCHOOL,PWANI,2025,4.0384,91.20879120879121,91.0,0.0,47.44525547445255,36.60010254485838,25.213607405793276,Safe,2.154880975908043,47.44525547445255,11,10,Complete
S4116,HASSANALI DAMJI SECONDARY SCHOOL,PWANI,2025,3.9985,98.18181818181819,165.0,0.0,40.06359300476947,43.97235102964606,25.21078321032466,Safe,2.774116496643339,40.06359300476947,12,10,Complete
S6471,MZIHA SECONDARY SCHOOL,MOROGORO,2025,3.4755,97.43589743589743,39.0,0.0,27.986348122866886,55.989449472096524,25.19273927848902,Safe,12.141779788833142,27.986348122866886,9,2,Limited trend history
S4708,IKOBE SECONDARY SCHOOL,GEITA,2025,3.6589,97.10144927536231,69.0,0.0,26.85025817555939,57.11826909083499,25.190558179918312,Safe,2.2800149559569243,26.85025817555939,10,10,Complete
S0535,MAKOGA SECONDARY SCHOOL,NJOMBE,2025,3.7132,97.72727272727273,88.0,0.0,30.660377358490564,53.30693005817501,25.19019222499967,Safe,4.822825781030005,30.660377358490564,9,10,Complete
