region,year,avg_gpa,total_sat,total_passed,pass_rate
MOROGORO,2017,3.9820280172413796,14827.0,10879.0,73.37290078910097
MOROGORO,2018,3.8929948497854077,16657.0,12716.0,76.34027736086931
MOROGORO,2019,3.84135,19002.0,14696.0,77.33922744974213
MOROGORO,2020,3.6948092050209205,20478.0,17509.0,85.50151381970895
MOROGORO,2021,3.678316049382716,23973.0,20539.0,85.67555166228674
MOROGORO,2022,3.6928317269076305,27048.0,22461.0,83.04125998225376
MOROGORO,2023,3.668714566929134,28810.0,24126.0,83.74175633460604
MOROGORO,2024,3.63073595505618,26103.0,23289.0,89.21962992759454
MOROGORO,2025,3.585000706713781,30528.0,28025.0,91.80096960167715
MTWARA,2016,4.2785851063829785,6946.0,4364.0,62.82752663403398
MTWARA,2017,4.090341958041958,5736.0,4471.0,77.9463040446304
MTWARA,2018,4.128736301369862,7889.0,6153.0,77.9946761313221
MTWARA,2019,4.037456164383562,9810.0,7910.0,80.63200815494393
MTWARA,2020,3.8369380281690137,8962.0,8054.0,89.86833296139255
MTWARA,2021,3.871665068493151,10947.0,9667.0,88.30729880332511
MTWARA,2022,3.7160850340136053,11920.0,11104.0,93.15436241610739
MTWARA,2023,3.776744966442953,12544.0,11558.0,92.13966836734694
MTWARA,2024,3.7998176100628935,12215.0,11159.0,91.3548915268113
MTWARA,2025,3.6819905325443787,12591.0,12136.0,96.38630768008896
MWANZA,2016,3.891,22578.0,17034.0,75.44512357161838
MWANZA,2017,3.8256735849056605,23182.0,18521.0,79.89388318522992
MWANZA,2018,3.8280396946564887,26619.0,20532.0,77.13287501408767
MWANZA,2019,3.7133128301886793,30451.0,24462.0,80.33233719746478
MWANZA,2020,3.4987297397769517,30929.0,27473.0,88.82602088654662
MWANZA,2021,3.4427572463768117,35656.0,32633.0,91.52176351806148
MWANZA,2022,3.3585468309859157,36514.0,33573.0,91.94555512953936
MWANZA,2023,3.304279513888889,37001.0,34472.0,93.16504959325424
MWANZA,2024,3.187566336633663,37336.0,36544.0,97.87872294836083
MWANZA,2025,3.160662382445141,41059.0,40147.0,97.7788061082832
NJOMBE,2016,3.8098154545454546,6093.0,5421.0,88.97095027080256
NJOMBE,2017,3.970251304347826,7633.0,6095.0,79.8506484999345
NJOMBE,2018,3.798788034188034,8181.0,7015.0,85.74746363525242
NJOMBE,2019,3.689303448275862,8540.0,7603.0,89.02810304449649
NJOMBE,2020,3.627654700854701,9234.0,8500.0,92.0511154429283
NJOMBE,2021,3.5476966666666665,10219.0,9452.0,92.49437322634309
NJOMBE,2022,3.5282900826446277,10159.0,9477.0,93.28674082094695
NJOMBE,2023,3.4358048780487804,10084.0,9423.0,93.44506148353828
NJOMBE,2024,3.402344186046512,9913.0,9349.0,94.31050136184808
NJOMBE,2025,3.2961407142857144,10528.0,10101.0,95.94414893617021
PWANI,2016,3.937435220125786,12253.0,8197.0,66.89790255447645
PWANI,2017,3.8901391304347825,10635.0,8044.0,75.63704748472027
PWANI,2018,3.8051770186335405,11626.0,8781.0,75.52898675382764
PWANI,2019,3.7154105882352946,13390.0,10519.0,78.55862584017925
PWANI,2020,3.594014450867052,14387.0,12348.0,85.82748314450545
PWANI,2021,3.5722508670520234,16746.0,14102.0,84.21115490266332
PWANI,2022,3.4953645161290323,19891.0,16687.0,83.89221255844352
PWANI,2023,3.483874358974359,21498.0,18611.0,86.5708437994232
PWANI,2024,3.4263322115384613,22248.0,20038.0,90.06652283351313
PWANI,2025,3.336059821428571,25658.0,23982.0,93.46792423415698
RUKWA,2016,4.117117777777778,5128.0,3758.0,73.28393135725429
RUKWA,2017,3.9949477777777775,4423.0,3616.0,81.7544652950486
RUKWA,2018,3.8888277777777778,5506.0,4666.0,84.7439157282964
RUKWA,2019,3.818167032967033,6748.0,5783.0,85.69946650859514
RUKWA,2020,3.7183704545454543,6975.0,6212.0,89.06093189964159
RUKWA,2021,3.6162395604395607,8379.0,7574.0,90.39264828738513
RUKWA,2022,3.5844147368421053,8961.0,8269.0,92.277647583975
RUKWA,2023,3.63376,9148.0,8083.0,88.35811106252733
RUKWA,2024,3.523040625,8791.0,8208.0,93.36821749516551
RUKWA,2025,3.440253608247423,9360.0,8913.0,95.22435897435896
RUVUMA,2016,4.004032596685083,7697.0,6314.0,82.03196050409251
RUVUMA,2017,4.088652432432433,9309.0,7164.0,76.95778279084756
RUVUMA,2018,3.989237037037037,10736.0,8644.0,80.51415797317438
RUVUMA,2019,3.8225382978723403,11616.0,10022.0,86.2775482093664
RUVUMA,2020,3.6943059139784946,12343.0,10968.0,88.86008263793244
RUVUMA,2021,3.685796373056995,13549.0,12291.0,90.71518193224593
RUVUMA,2022,3.6611084999999997,14436.0,12948.0,89.69243557772236
RUVUMA,2023,3.683897,14350.0,12918.0,90.02090592334496
RUVUMA,2024,3.622900480769231,13339.0,12305.0,92.2482944748482
RUVUMA,2025,3.512254716981132,13393.0,12845.0,95.90831031135669
SHINYANGA,2016,4.042733076923077,9281.0,6661.0,71.77028337463636
SHINYANGA,2017,3.911904511278196,8345.0,6752.0,80.91072498502096
SHINYANGA,2018,3.847495652173913,9837.0,8071.0,82.04737216631088
SHINYANGA,2019,3.865115107913669,12056.0,9721.0,80.63205043132051
SHINYANGA,2020,3.772049275362319,12102.0,10155.0,83.91175012394646
SHINYANGA,2021,3.6512468531468527,13494.0,11805.0,87.48332592263228
SHINYANGA,2022,3.570897278911565,14043.0,12610.0,89.79562771487574
SHINYANGA,2023,3.5409181818181823,14267.0,12871.0,90.21518188827365
SHINYANGA,2024,3.463142944785276,14080.0,13306.0,94.5028409090909
SHINYANGA,2025,3.4074494117647056,15536.0,14782.0,95.14675592173018
SIMIYU,2016,4.064405405405406,7565.0,5352.0,70.7468605419696
SIMIYU,2017,3.8923886666666667,6659.0,5312.0,79.77173749812285
SIMIYU,2018,3.77382119205298,7057.0,5811.0,82.34377214113647
SIMIYU,2019,3.7077653333333336,9270.0,8043.0,86.76375404530744
SIMIYU,2020,3.562113907284768,9938.0,9179.0,92.36264842020528
SIMIYU,2021,3.4974766233766235,11324.0,10811.0,95.46979865771812
SIMIYU,2022,3.5383574193548384,12163.0,11502.0,94.56548548877744
SIMIYU,2023,3.4987102564102566,12078.0,11521.0,95.38830932273555
SIMIYU,2024,3.422755900621118,11821.0,11521.0,97.46214364266983
SIMIYU,2025,3.4147643274853805,13770.0,13448.0,97.66158315177923
SINGIDA,2016,4.165200653594772,8007.0,5270.0,65.81740976645435
SINGIDA,2017,4.0330200000000005,6696.0,5138.0,76.73237753882916
SINGIDA,2018,3.9777579617834395,8264.0,6552.0,79.28363988383349
SINGIDA,2019,3.8821329192546585,10070.0,8251.0,81.9364448857994
SINGIDA,2020,3.775708125,10624.0,9472.0,89.1566265060241
SINGIDA,2021,3.7758388888888885,12380.0,10808.0,87.30210016155088
SINGIDA,2022,3.7525462962962965,13170.0,11408.0,86.6211085801063
SINGIDA,2023,3.722627218934911,13869.0,12224.0,88.13901506957964
SINGIDA,2024,3.608364606741573,12801.0,12004.0,93.77392391219436
SINGIDA,2025,3.5712823529411764,14624.0,13876.0,94.8851203501094
SONGWE,2016,4.149085148514851,7600.0,5018.0,66.02631578947368
SONGWE,2017,4.0931875,5740.0,4388.0,76.44599303135888
SONGWE,2018,3.952795283018868,6663.0,5414.0,81.25469007954375
SONGWE,2019,3.905930555555556,8170.0,6796.0,83.18237454100367
SONGWE,2020,3.722598113207547,8063.0,7200.0,89.29678779610568
SONGWE,2021,3.7032622807017543,9236.0,8203.0,88.81550454742313
SONGWE,2022,3.693814782608696,10187.0,9056.0,88.89761460685187
SONGWE,2023,3.661390909090909,9040.0,8199.0,90.69690265486726
SONGWE,2024,3.5613108527131785,9037.0,8590.0,95.05366825273875
SONGWE,2025,3.4729029411764705,9698.0,9308.0,95.97855227882037
TABORA,2016,4.065990697674419,9141.0,6440.0,70.45181052401269
TABORA,2017,3.929247904191617,7600.0,6309.0,83.01315789473685
TABORA,2018,3.8501109826589595,9586.0,7893.0,82.33882745670769
TABORA,2019,3.749286931818182,11306.0,9556.0,84.5214930125597
TABORA,2020,3.704143181818182,13131.0,11693.0,89.04881577945321
TABORA,2021,3.716320786516854,14665.0,12917.0,88.08046368905558
TABORA,2022,3.625841326530612,15685.0,14393.0,91.76283072999681
TABORA,2023,3.641819402985075,15715.0,14425.0,91.7912822144448
TABORA,2024,3.572029245283019,15195.0,14369.0,94.56400131622244
TABORA,2025,3.4352192660550456,15907.0,15474.0,97.27792795624568
TANGA,2016,4.221742435424354,17706.0,10834.0,61.18829775217441
TANGA,2017,4.123147985347986,14440.0,10645.0,73.71883656509695
TANGA,2018,4.092296785714286,17590.0,13145.0,74.72996020466174
TANGA,2019,4.0796935943060495,20978.0,15305.0,72.95738392601774
TANGA,2020,3.963099637681159,19716.0,15795.0,80.11259890444309
TANGA,2021,3.9140451263537903,21936.0,17866.0,81.44602479941648
TANGA,2022,3.8342557142857143,24086.0,20190.0,83.8246284148468
TANGA,2023,3.789568989547038,23535.0,20745.0,88.14531548757171
TANGA,2024,3.670353793103448,22014.0,20363.0,92.50022712819114
TANGA,2025,3.6188484848484848,23805.0,22462.0,94.35832808233565
